City,month,transaction_value_thousand_sar,weekly_obs,group_key,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_3,rolling_std_3,rolling_6,rolling_std_6,rolling_12,rolling_std_12,month_num,month_sin,month_cos,year,trend_months
Abha,2023-09-01,630600.0,4,abha,818965.0,1155568.0,705888.0,599734.0,620748.0,893473.6666666666,233915.9713579501,778661.8333333334,200538.09427379814,699959.6666666666,165298.1039957992,9,-1.0,-1.8369701987210297e-16,2023,45
Abha,2023-10-01,741692.0,5,abha,630600.0,818965.0,1155568.0,752421.0,734873.0,868377.6666666666,265949.35415663884,783806.1666666666,195359.15040296104,700780.6666666666,164892.88031453703,10,-0.8660254037844386,0.5000000000000001,2023,46
Abha,2023-11-01,575366.0,4,abha,741692.0,630600.0,818965.0,639395.0,555122.0,730419.0,94687.13588972889,782018.0,195752.58738417758,701348.9166666666,165032.73969095194,11,-0.5000000000000004,0.8660254037844384,2023,47
Abha,2023-12-01,723779.0,5,abha,575366.0,741692.0,630600.0,705888.0,561684.0,649219.3333333334,84711.83063382187,771346.5,206531.26680456902,703035.9166666666,163498.4262851471,12,-2.4492935982947064e-16,1.0,2023,48
Abha,2024-01-01,565686.0,4,abha,723779.0,575366.0,741692.0,1155568.0,673608.0,680279.0,91297.7111925594,774328.3333333334,205523.87924196728,716543.8333333334,157338.4986649851,1,0.49999999999999994,0.8660254037844387,2024,49
Abha,2024-02-01,607587.0,4,abha,565686.0,723779.0,575366.0,818965.0,581510.0,621610.3333333334,88612.93887651691,676014.6666666666,101385.20818278524,707550.3333333334,162998.4490641961,2,0.8660254037844386,0.5000000000000001,2024,50
Abha,2024-03-01,770379.0,5,abha,607587.0,565686.0,723779.0,630600.0,599734.0,632350.6666666666,81904.08141437959,640785.0,75094.03901242778,709723.4166666666,161330.62417423096,3,1.0,6.123233995736766e-17,2024,51
Abha,2024-04-01,586340.0,4,abha,770379.0,607587.0,565686.0,741692.0,752421.0,647884.0,108132.7527578947,664081.5,91247.00829451907,723943.8333333334,158245.51071319144,4,0.8660254037844387,-0.4999999999999998,2024,52
Abha,2024-05-01,654642.0,4,abha,586340.0,770379.0,607587.0,575366.0,639395.0,654768.6666666666,100683.51718296952,638189.5,86750.28500414292,710103.75,162727.70041789272,5,0.49999999999999994,-0.8660254037844387,2024,53
Abha,2024-06-01,967901.0,5,abha,654642.0,586340.0,770379.0,723779.0,705888.0,670453.6666666666,93032.7629511954,651402.1666666666,81122.75264416695,711374.3333333334,162184.02990505082,6,1.2246467991473532e-16,-1.0,2024,54
Abha,2024-07-01,928276.0,4,abha,967901.0,654642.0,586340.0,565686.0,1155568.0,736294.3333333334,203463.82192992765,692089.1666666666,153561.07492905456,733208.75,178222.32922092514,7,-0.4999999999999997,-0.8660254037844388,2024,55
Abha,2024-08-01,798759.0,4,abha,928276.0,967901.0,654642.0,607587.0,818965.0,850273.0,170575.93991240376,752520.8333333334,164802.64582028633,714267.75,136433.1148659398,8,-0.8660254037844384,-0.5000000000000004,2024,56
Abha,2024-09-01,817722.0,5,abha,798759.0,928276.0,967901.0,770379.0,630600.0,898312.0,88462.61929764446,784382.8333333334,148889.61689441864,712583.9166666666,135142.0723080703,9,-1.0,-1.8369701987210297e-16,2024,57
Abha,2024-10-01,605030.0,4,abha,817722.0,798759.0,928276.0,586340.0,741692.0,848252.3333333334,69948.11836163509,792273.3333333334,149253.08897261307,728177.4166666666,135617.08924659793,10,-0.8660254037844386,0.5000000000000001,2024,58
Abha,2024-11-01,607871.0,4,abha,605030.0,817722.0,798759.0,654642.0,575366.0,740503.6666666666,117706.13668086006,795388.3333333334,144205.22292159445,716788.9166666666,140044.86649087488,11,-0.5000000000000004,0.8660254037844384,2024,59
Abha,2024-12-01,766961.0,5,abha,607871.0,605030.0,817722.0,967901.0,723779.0,676874.3333333334,121985.92838656969,787593.1666666666,154249.3849600923,719497.6666666666,137349.20135077953,12,-2.4492935982947064e-16,1.0,2024,60
Abha,2025-01-01,577474.0,4,abha,766961.0,607871.0,605030.0,928276.0,565686.0,659954.0,92681.66677935814,754103.1666666666,126609.36358961267,723096.1666666666,138035.52968106922,1,0.49999999999999994,0.8660254037844387,2025,61
Abha,2025-02-01,655769.0,4,abha,577474.0,766961.0,607871.0,798759.0,607587.0,650768.6666666666,101766.83225065675,695636.1666666666,110000.90986426757,724078.5,136850.3353392112,2,0.8660254037844386,0.5000000000000001,2025,62
Abha,2025-03-01,783361.0,5,abha,655769.0,577474.0,766961.0,817722.0,770379.0,666734.6666666666,95218.25022721909,671804.5,98028.9580292479,728093.6666666666,133794.4884598855,3,1.0,6.123233995736766e-17,2025,63
Abha,2025-04-01,616591.0,4,abha,783361.0,655769.0,577474.0,605030.0,586340.0,672201.3333333334,103922.47291290418,666077.6666666666,88322.7481765978,729175.5,134219.29170475935,4,0.8660254037844387,-0.4999999999999998,2025,64
Abha,2025-05-01,674851.0,4,abha,616591.0,783361.0,655769.0,607871.0,654642.0,685240.3333333334,87203.65727039952,668004.5,86838.21241769112,731696.4166666666,131550.20826938935,5,0.49999999999999994,-0.8660254037844387,2025,65
Abha,2025-06-01,904753.0,5,abha,674851.0,616591.0,783361.0,766961.0,967901.0,691601.0,84637.34459445174,679167.8333333334,81715.96215285429,733380.5,130600.01910100102,6,1.2246467991473532e-16,-1.0,2025,66
Buraidah,2020-05-01,689836.0,4,buraidah,,,,,,,,,,,,5,0.49999999999999994,-0.8660254037844387,2020,5
Buraidah,2020-06-01,1024870.0,4,buraidah,689836.0,,,,,689836.0,,689836.0,,689836.0,,6,1.2246467991473532e-16,-1.0,2020,6
Buraidah,2020-07-01,769468.0,4,buraidah,1024870.0,689836.0,,,,857353.0,236904.81332805377,857353.0,236904.81332805377,857353.0,236904.81332805377,7,-0.4999999999999997,-0.8660254037844388,2020,7
Buraidah,2020-08-01,954990.0,5,buraidah,769468.0,1024870.0,689836.0,,,828058.0,175032.95793649834,828058.0,175032.95793649834,828058.0,175032.95793649834,8,-0.8660254037844384,-0.5000000000000004,2020,8
Buraidah,2020-09-01,815796.0,4,buraidah,954990.0,769468.0,1024870.0,,,916442.6666666666,131992.30311398214,859791.0,156372.28249277428,859791.0,156372.28249277428,9,-1.0,-1.8369701987210297e-16,2020,9
Buraidah,2020-10-01,802475.0,4,buraidah,815796.0,954990.0,769468.0,,,846751.3333333334,96557.12100789529,850992.0,136844.18165928722,850992.0,136844.18165928722,10,-0.8660254037844386,0.5000000000000001,2020,10
Buraidah,2020-11-01,1050511.0,5,buraidah,802475.0,815796.0,954990.0,689836.0,,857753.6666666666,84472.12942937647,842905.8333333334,123989.4374185425,842905.8333333334,123989.4374185425,11,-0.5000000000000004,0.8660254037844384,2020,11
