Starting date;Indicator;Sectors;City;value (Multiple units)
2025-06-29;Value of Transactions Change %;Clothing and Footwear;Total;7.419285738354377
2025-06-29;Value of Transactions Change %;Telecommunication;Total;9.839466016674873
2025-06-29;Number of Transactions (In Thousand);Total;KHOBAR;4662.0
2025-06-29;Number of Transactions (In Thousand);Total;JEDDAH;27562.0
2025-06-29;Number of Transactions Change %;Total;ABHA;11.659965537047674
2025-06-29;Number of Transactions Change %;Total;MAKKAH;8.818493150684931
2025-06-29;Value of Transactions (In Thousand SAR);Total;TABOUK;278759.0
2025-06-29;Value of Transactions (In Thousand SAR);Total;DAMMAM;680169.0
2025-06-29;Value of Transactions (In Thousand SAR);Total;OTHER;4134926.0
2025-06-29;Value of Transactions (In Thousand SAR);Electronic & Electric Devices;Total;187555.0
2025-06-29;Value of Transactions (In Thousand SAR);Furniture;Total;289991.0
2025-06-29;Value of Transactions (In Thousand SAR);Hotels;Total;260741.0
2025-06-29;Value of Transactions (In Thousand SAR);Beverage and Food;Total;2126081.0
2025-06-29;Value of Transactions Change %;Construction & Building Materials;Total;4.7270665483909315
2025-06-29;Value of Transactions Change %;Gas Stations;Total;1.0921605848658489
2025-06-29;Value of Transactions Change %;Furniture;Total;8.043129175158251
2025-06-29;Value of Transactions Change %;Total;Total;5.019713556873849
2025-06-29;Number of Transactions (In Thousand);Gas Stations;Total;16974.0
2025-06-29;Number of Transactions (In Thousand);Restaurants & Café;Total;61437.0
2025-06-29;Number of Transactions Change %;Health;Total;5.234087322461862
2025-06-29;Number of Transactions Change %;Furniture;Total;9.57613814756672
2025-06-29;Number of Transactions Change %;Miscellaneous Goods and Services;Total;5.391676321183495
2025-06-29;Number of Transactions Change %;Telecommunication;Total;14.870794734275963
2025-06-29;Number of Transactions (In Thousand);Total;BURAIDAH;5249.0
2025-06-29;Number of Transactions (In Thousand);Total;OTHER;79443.0
2025-06-29;Number of Transactions Change %;Total;DAMMAM;1.4570724052902937
2025-06-29;Number of Transactions Change %;Total;RIYADH;4.157480762939679
2025-06-29;Number of Transactions Change %;Total;OTHER;4.922341380949866
2025-06-29;Value of Transactions (In Thousand SAR);Total;ABHA;217676.0
2025-06-29;Value of Transactions (In Thousand SAR);Total;MAKKAH;536421.0
2025-06-29;Value of Transactions Change %;Total;ABHA;11.477794165847262
2025-06-29;Value of Transactions Change %;Total;KHOBAR;0.4646218465607093
2025-06-29;Value of Transactions (In Thousand SAR);Education;Total;141123.0
2025-06-29;Value of Transactions (In Thousand SAR);Gas Stations;Total;974026.0
2025-06-29;Value of Transactions (In Thousand SAR);Health;Total;871370.0
2025-06-29;Value of Transactions (In Thousand SAR);Public Utilities;Total;56917.0
2025-06-29;Value of Transactions (In Thousand SAR);Recreation and Culture;Total;287788.0
2025-06-29;Value of Transactions (In Thousand SAR);Total;Total;14299229.0
2025-06-29;Value of Transactions Change %;Education;Total;-33.45106786318902
2025-06-29;Value of Transactions Change %;Electronic & Electric Devices;Total;2.965073509228455
2025-06-29;Value of Transactions Change %;Health;Total;3.737487737744888
2025-06-29;Value of Transactions Change %;Hotels;Total;22.70453422433469
2025-06-29;Value of Transactions Change %;Transportation;Total;4.057709527460684
2025-06-29;Number of Transactions (In Thousand);Total;HAIL;4213.0
2025-06-29;Number of Transactions (In Thousand);Total;MAKKAH;8897.0
2025-06-29;Number of Transactions (In Thousand);Total;MADINA;9342.0
2025-06-29;Number of Transactions (In Thousand);Total;DAMMAM;9052.0
2025-06-29;Number of Transactions Change %;Total;HAIL;6.442647801920162
2025-06-29;Number of Transactions Change %;Total;BURAIDAH;4.064234734337827
2025-06-29;Number of Transactions Change %;Total;KHOBAR;1.9239177962396152
2025-06-29;Value of Transactions (In Thousand SAR);Total;HAIL;242723.0
2025-06-29;Value of Transactions (In Thousand SAR);Total;MADINA;556241.0
2025-06-29;Value of Transactions (In Thousand SAR);Total;JEDDAH;2057342.0
2025-06-29;Value of Transactions (In Thousand SAR);Total;RIYADH;4865734.0
2025-06-29;Value of Transactions Change %;Total;HAIL;7.298905451523349
